knowledge_article_id,description,module,keywords,category_1,category_2,category_3,issue,resolution
400000042,Error Current PC00_M14_Calc or ZRPCSC000 - Gon,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),"Gon Continue If Data Is Complete
This error message is currently only display in the old log.
Please choose 'old log' and go to the end to display the error message.","No. No. is created with incomplete data.
Please check:
1. IT0001 - Organization Assignment
2. IT0002 - Personal Data
3. IT0007 - Working Time
4. IT0008 - Basic Pay"
400000043,ERROR Current PC00_M14_Calc or ZRPCSC000 - ZGO11,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),ZGO11 functional area {e.g.0024021601} Belongs to B.area {e.g 1003},"Please check:
1. Post a functional area on IT0001.
2. Refer to TCODE KS03 (on ECP server) and enter the Functional Area code recorded in Step 1 in the Cost Center room.
3. On the add.fields tab, please check the Accounting Office Field (AO).Make sure the BA code is the same as the BA code on IT0001 on HCP (PA20/PA30)"
400000045,Error Current PC00_M14_Calc or ZRPCSC000 - ZGOn IT0027,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),"ZGOn check for IT0027
This error message is currently only display in the old log.
Please choose 'old log' and go to the end to display the error message.","Please check IT0027 - Cost Distribution.
Make sure IT0027 has been created."
400000046,ERROR Current PC00_M14_Calc or ZRPCSC000 - ZGO1,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),ZGO1 retro-active not possible.,"Check IT0003 - Payroll Status, if Field Earliest Md Change <accounted to - means that there is a change in staff data (Payroll E.G IT0008) once the pay process has been completed and the post document has been sent to FICO.
How to Correct:
At PA30, to Utilities> Change Payroll Status, vacate Field Earliest Md Change."
400000047,ERROR Current PC00_M14_Calc or ZRPCSC000 - ZGO2 IT0006,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),ZGO2 check IT0006 not created.,Make sure IT0006 (Stype 1) is created.
400000048,ERROR Current PC00_M14_Calc or ZRPCSC000 - ZGO2 IT0006,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),Sgo2 check IT0006 subtype 1 not created.,Make sure IT0006 (Stype 1) is created.
400000049,ERROR Current PC00_M14_Calc or ZRPCSC000 - ZGO43 IT0009,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),ZGO3 payroll not possible because data is missing.Check IT0009: no record/s found.,Make sure IT0009 (Stype 0) is created.
400000050,ERROR Current PC00_M14_Calc or ZRPCSC000 - ZGO4 IT0185,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),ZGO4 Check IT0185: No Record/S Found.,"Make sure IT0185 (stype 01, 02, 03 or 90) is created."
400000051,ERROR Current PC00_M14_Calc or ZRPCSC000 - ZGO5 IT0077,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),ZGO5 check IT0077 payroll not possible because data is missing.Check IT0077: No record/s found.,"Keep IT0077 - Additional Personal Data created

Pension Status (IT0077) Contributing to EPF (IT0196)
1 -No pensioner and no EPF contribution - no betanda
2 -Berpencen and No EPF Contribution - No Betanda
3 -No pensioner and there is an EPF contribution - marked
4 -Berpencen and there is an EPF contribution - marked
5 -foreign workers and have EPF contributions - marked"
400000052,ERROR Current PC00_M14_Calc or ZRPCSC000 - ZGO5 IT0196,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),"ZGO5 check IT0196
Payroll not possible because data is missing.Check It0198: No Record/S Found.","Keep IT0196 - EPF created

Pension Status (IT0077) Contributing to EPF (IT0196)
1 -No pensioner and no EPF contribution - no betanda
2 -Berpencen and No EPF Contribution - No Betanda
3 -No pensioner and there is an EPF contribution - marked
4 -Berpencen and there is an EPF contribution - marked
5 -foreign workers and have EPF contributions - marked"
400000053,ERROR Current PC00_M14_Calc or ZRPCSC000 - ZGO5 IT0196,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),ZGO5 check IT0196: Flag indicator is checked.,"This staff is in pension status (IT0077)
1-No pensioner and no EPF contribution or
2-Berpencen and No EPF Contribution
Keep IT0196 - The 'Contributing To EPF' box is not marked"
400000054,ERROR Current PC00_M14_Calc or ZRPCSC000 - ZGO5 IT0196,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),ZGO5 check IT0196: Flag indicator is not checked.,"This staff is in pension status (IT0077)
3-No pensioner and there is an EPF contribution or
4-Berpencen and have an EPF contribution or
5-foreign workers and have EPF contributions
Keep IT0196 - The 'Contributing To EPF box is marked"
400000055,ERROR Current PC00_M14_Calc or ZRPCSC000 - ZGO5 IT0196,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),ZGO5 Check IT0196: Employer Amount/Percentage Not Equal to Zero.,"These staff are in pension standards = 4 (pension and have EPF contributions), voluntary contributions only for employee (employees).
Make sure IT0196 - Employer (Amount/ Percentage) is emptied.
Pension Status (IT0077) Contributing to EPF (IT0196)
4 -Berpencen and have EPF contributions - marked & self contrbr"
400000056,ERROR Current PC00_M14_Calc or ZRPCSC000 - ZGO5 IT0198,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),"ZGO8
Check It0198: No Record/S Found.",Make sure IT0198 Stype (01) is created.
400000057,ERROR Current PC00_M14_Calc or ZRPCSC000 - ZGO5 IT0199 or IT0196,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),ZGO9 Check IT0199 or IT0196: Statutory Amount Larger Than Gross Pay.,"Total deduction (statutory) exceeds the total staff income.
Please check:
1. IT0199 (01 or 03) - Reduce or limit (delimit) Amount
2. IT0196 (Employee Amount) - Reduce the amount"
400000059,ERROR Current PC00_M14_Calc or ZRPCSC000 - PIT YPPF NOAB,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),"PIT YPPF Noab Determine Prorate Factor.
Division by zero not performed
Calculation rule yppf*/810 rte = tsdivi rte-tsdivp rte*kgenau rte/tsdivp addwt*","Please check:
1. Make sure the data on IT0007 is correct.
2. Make sure the data on IT0008 are correct.
- Cap.util.lvl = 100.00
- WKHRS/Period = 160.00 Monthly"
400000061,Forgot the Portal 1GFMAS Portal Password,Authorization,Portal 1GFMAS Password,Authorization,Authorization,Manually reset the password,Users Forgot Portal 1GFMAS Portal Password,Users can solve the problem by referring to SOP: User Authentication Failed Password as in Appendix
400000065,"What is the ""unit of measurement"" in the Master Data report ""?",MM,Item Code / Unit Measurement,Application,Master Data,Item Code,"What is the ""unit of measurement"" in the Master Data report ""?","The unit of measure of the item is based on the master data received from the ePerolehan.For example grams, kg,"
400000066,Supplier Master Data Maintenance,MM/AP,Supplier's Master Data,Application,Master Data,Supplier Information,Where is the master data of the supplier maintained at 1GFMAS?,"Master data is maintained in Sap Gui.However the process for creating supplier's master data is only given to BPOPA or BA/AO except for Account Group EMP, SUPP and Paye."
400000067,Cancel Public Air Travel Warrant (WPUA) Non -bulk,MM,Cancel a non -bulk air warrant,Application,Procurement,Public Air Travel Warrant,"If the ticket is out, the bill payment has been made, can the warrant cancel?","If the payment for the air warrant has been made by payment order with the order, it cannot be canceled."
400000091,Authorization - Authorization Application,Authorization,Authorization - Authorization Application,Authorization,Authorization,Authorization Application,New Application or Update Related User Authorization (Authorization),"All new application forms or updates related to authorization (authorization) should be sent email or fax or hand or postage to Local Administration (LA) of the accounting office from January 26, 2018 to a later date.For your information, the use of 1GFMAS Service Desk for the purpose of new applications or user updates is temporarily postponed.Thank you."
400000117,Checkbox AP58 (A),MM,AP58 (a),Application,Payment command management,Payment Instructions with Government Orders,When registering AP58 Payment Instructions (a) Is the AP58 (A) Auto Tick checkbox?,"Yes, the AP58 (A) checkbox will be in the auto tick for the circumstances where:

AP58 Payment (A) With the receipt of supplies & services
Po the year before,
Grn the year before
AP the current year
Vot = b* (except B99) & t*

Payment of AP58 (a) Involves Government Indent/Government Contract Liability/Wpua
Po the year before,
Date of completion / partial completion / service year before
AP the current year
Vot = b* (except B99) & t*"
400000118,List of Accrual Account Code (CAA),MM,Account Code / Accrue List of Procurement,Application,Procurement,Government Order/ Government Contract,How to Search Account Code for a Procurement Register,"Users can search through Search Criteria: Personal Value Listkod during the list/update.In addition, the list of account codes can also be found on the JANM website and the Master Data report."
400000119,EP & IGFMAS integration unsuccessful - Acceptance process in EP failed,MM,Item code,Application,Procurement,Acceptance of Supplies & Services,"EP & IGFMAS integration unsuccessful error '""item code xxxxxxx0000000000 is being processed","According to existing designs, the item code is only allowed by a user at a time.
So the user has to try to re -deliver until successful"
400000120,Payment instructions unsuccessful on the bread because the budget is insufficient or negative,MM,Annual Budget Excueded,Application,Payment command management,Payment Instructions with Government Orders,"Error 'Annual Budget Excueded by XXXXXX RM /
'02] Failed to be processed due to current expenses exceeding the allocation of 9H/2021/S6341/41500700/E0211733/41500701/S63666667.Please take appropriate action including transfer of provisions if applicable.[Business Error] '",Consumers need to review the vot/fund report and ensure adequate/non -negative provisions and expenses do not exceed the provisions to make any transactions/posts.
400000121,EP & IGFMAS integration unsuccessful - Payment match failed,MM,Budget negative,Application,Payment command management,Payment Instructions with Government Orders,Error 'Annual Budget Excueded by XXXXXXX RM (FM PB Availability Control),Consumers need to make additional or transfer of allocation up to at least 0.00.
400000122,Payment instructions unsuccessful on the river,MM,Lock ID,Application,Payment command management,Payment Instructions with Government Orders,Error '12xxxxx document has been locked by ID xxxxxxxxxxxx' ID,The user needs to re -process the transactions made
400000123,Payment instructions unsuccessful on the river,MM,Payment command document status is not updated on 80,Application,Payment command management,Payment Instructions with Government Orders,"Error '12xxxxx payment document (Local AP number) was successfully posted on XX.XX, XXXX (post date) by XXXXXXXXXXXX (User ID 2).Please click the Back button to exit the screen '",The user needs to click the 'Back' button.
400000124,CANCELLATION OF ORDER/LIABILITY,MM,"CANCELLATION OF ORDER/LIABILITY
(Balance Balance is not updated)",Application,Report,Vot/Fund Report,The liability is not returned after cancellation of the order/liability is made,Review detailed vot/fund reports based on the date the order document is set up.The canceled order/liability will display an amount of 0.00 in the dependency section.This indicates that the remaining liability has been returned to the original provision.
400000125,Error PO EP document,MM,Error PO EP document,Application,Procurement,Government Order/ Government Contract,Error POXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXx,The user needs to click the 'Kiri' button.
400000126,Booking ID/ Booking ID,MM,MYGOM Portal Booking ID Process Procedure,Application,Procurement,Public Air Travel Warrant,MYGOM Portal Booking ID Process Procedure,"1. IGFMAS system login
2. Click the Procurement Tab -> Public Air Travel Warrant -> Bulk -> Integration Update.
3. In the Booking ID field Enter No PNR+Booking ID date is generated (without space/-).For example 5il5au18022022.
4. Click the search button
5. Click on the booking ID displayed in the search results room.
6. If booking information is accurate, process as usual, save -> Send -> Pass -> Check AO."
400000127,The use of account code,MM,Error Account Code,Application,Procurement,Government Indent/Government Contract Liability (Work),Account Code Error B0332XXX is not allowed for procurement,The cost of the repair does not meet the features to be capitalized as it should be charged to B0228000.The use of account code B0332XXX (e.g. Building repair) is not allowed to apply as much as the BPOPA instructions to restrict the use of this account code in the Procurement Module.Please refer to AO/BPOPA for any questions related to the code that can be used.
400000128,Error Current Check Data Document Closing Year (PAT),MM,PAT Error,Application,Procurement,The end of the year,"Failed to prepare the end -of -year closing document (PAT).Once the document is underway, there is an error when you want to make the data check process.","The Rabax presented is due to the user ID of the Provider who performs the PAT process No Value Fik = FGOM in User Profile.
Reporters should contact Local Admin to maintain FIK = FGOM at Provider ID and PAT Approval.
Make sure the word ""FGOM"" is updated in a capital letter to prevent the same Rabax displayed."
400000129,Closing,CM,Panjar,Application,Panjar,Retail Money Panjar,Error during the process of closing the tip where the user creates the original float receipt process.,"Users need to perform the Document Type KX transaction (payment instruction for the original float) with the same amount as the original float amount to the completion but approval from the BPOPA must be obtained in advance.

The Process of Panjar should be completed in the following sequences:
1. Original float voucher (KX)
2. Close the Panjar (C5)
3. Panjar Close Receipt (DZ)
4. Panjar Closed Collector Statement (D0)"
400000130,No information in the Reception Receipt Screen screen,CM,Panjar,Application,Panjar,Retail Money Panjar,"There is no reception receipt transaction in the screen of the Receipt Receipt of the reception due to the error during the recupment process.The reception should be done in the Panjar Module (C4), but is done in the AP (K4) module.","For cash received through the K4 recreation, the user must return the money to the Accounting Office Receipt Account.Actions to be taken:
1. Make a regular receipt in Receipt Module
2. Submit cash and collector statement to Accounting Office Receipt Account
3. Users can continue to create a recreatal process (C4) in CM module as usual"
400000131,ERROR Current PC00_M14_Calc or ZRPCSC000 - P0198,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),"P0198 Read Tax
This error message is currently only display in the old log.
Please choose 'old log' and go to the end to display the error message",Keep IT0198 created
400000132,The reception of the original float,CM,Panjar,Application,Panjar,Retail Money Panjar,There is an error while locking in the PTJ Code (Old PTJ).,Prepare the S1 Journal Voucher to adjust the A2911101 account code to the actual PTJ and PTJ Code.
400000133,Error Current PC00_M14_Calc or ZRPCSC000 - ZGOn IT0027,HCM,HCM,Application,SAPGUI - HCM,HCM-Payroll Run (Payroll Run),"ZGOn check for IT0027
Payroll not possible because data is missing it0027","Please check IT0027 - Cost Distribution.
Make sure IT0027 has been created or check records between IT0001 and IT0027.
Make sure the number of records for both infotype for 'start date' and 'end date' is the same.If not, please update the record."
400000134,Annual Salary Movement (PGT) ZRPY070,HCM,PGT,Application,SAPGUI - HCM,HCM-Pay Report,PGT Update cannot be generated,"The most common mistakes made by PTJ are not to generate PGT Calculation by actual run and when PTJ generates PGT updates, no data can be read by the program.Therefore, no spool can be generated.

Please make sure the PGT Calculation button has been generated by actual run (after review during the test run run) before generating PGT updates.To avoid burdening the system at IGFMAS and allowing reviews on Display Own Jobs (SMX and SP02 transactions), the actual run process needs to be done in the background (Program Menu> Execute in Background).

Here's the process description of the PGT program (ZRPY070):
1. Jana PGT Calculation (Test Run)
-> PTJ needs to review the generated list (identify new salary and new allowance is correct and identify no.
-> Exclude No. (if any) to display the PGT report.

2. Jana PGT Calculation (Actual Run) - Execute in Background
-> The program will update the list of No. Seri, New Salary & New Allowances into the Program (Printed Report if necessary).

3. JANA PGT UPDATE (TEST RUN)
-> The program will read the data and display on the report for review purposes.

4. JANA PGT UPDATE (Actual Run) - EXECUTE IN BACKGROUND
-> Program will update new salary & new allowances on PA30 (reported report if necessary)."
400000135,Transfer Process Out ZRPY033,HCM,"Transfer out,
Move out",Application,SAPGUI - HCM,HCM-Pay Report,The transfer out process is not implemented properly using the ZRPY033 program.,"Please refer to IT0001 on the Transfer to Bus Area field.
For the transfer process, the transfer to bus area, transfer to pay center and actual transfer date must be updated through the ZRPY033 program so that there is no error in the data.

For the status of the action of the officer who has been inactive: Termination (T49), transfer to another agency (T45), CTG (T43) or Disciplinary Change (T44) and requires activation action, please contact BPTM HRPAY for further action advice."
400000136,Do not have a vendor Employee in ECP,HCM,Employee Vendor,Application,SAPGUI - HCM,HCM-Master Data,Do not have a vendor Employee in ECP,"Please check:
TCODE FK03 at ECP.Insert an 8 -digit no.Please make sure the Employee Vendor (50xxxxxxxx) still does not exist in the ECP.Take action to create an Employee Vendor by generating the ZRPY118 program at HCP using the Ad Hoc (Personnel No Only button).
Please make sure the following are:
1. Before implementing ZRPY118, make sure the start date is the new entry date for the staff;
2. Check the error in the ZRPY118 Program Test Run Report;and
3. Take the data correction action based on the test run error before re -implementing the zrpy118."
400000137,EPF Calculation Different,HCM,KWSP,Application,SAPGUI - HCM,HCM-Master Data,Differences in the EPF amount calculation between months before and months after (Example: 10/2021 and 11/2021),"Please refer to Infotype 0196 and identify the records used.
There is a difference in the EPF calculation between the statutory rate and the personnel rate.
Statutory rate options, EPF amount based on a table gazetted by EPF.While the Personnel Rate option is based on the percentage (%) deduction."
400000138,WBS Element XXXXXXXXXXXXXXXXXXXXXXXXXX does not exist in HCP,HCM,WBS Element,Application,SAPGUI - HCM,HCM-Master Data,WBS Element does not exist.,"If there is an error ""WBS Element XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
1. Contact BPTM HRPAY for further review of the WBS code.
2. BPTM HRPAY will make updates of WBS data through the ECP to HCP."
400000139,Authorization Error Single HCM Transaction,HCM,HCM,Application,SAPGUI - HCM,HCM-Master Data,No Authorization,"If you have authorization access problems, please attach a SU53 screenshot for the Authorization Team Review.

Here are some steps for SU53 screenshots.
1. On a screen that has an error authorization, do not change the screen or create another process.Continue to step no.2 below.
2. In the command field compartment on the same screen, enter /osu53 and click Enter.
3. SCREEN SU53 will be displayed.Take a SU53 screenshot.
4. Send it to the Authorization Team with the AO/ PTJ Officer ID and explain the problem encountered."
400000140,Cancellation of the KEW.50E document skip the moon,CM,Panjar,Application,Panjar,Retail Money Panjar,The KEW.50E document that is the moon cannot be canceled.,"For the KEW.50E document the 80 status that wants to cancel is provided that it is within the same accounting month and the reception process has not been implemented.For KEW50.E documents with the 80-year-old Month, the user's action is to create other acceptance by locking in the same information as the KEW50.E document to be canceled.Users need to apply for the role of other acceptance through local admin (LA) officers in the user's department account section."
400000141,Error on ZRPY121 Report - Payment Creation Remuneration,HCM,HCM,Application,SAPGUI - HCM,HCM-Pay Report,Error on ZRPY121 Report - Payment Creation Remuneration,"PCP0 Document has switched to 40 - Transferred Documents.However when referring to the Document GL, there is a ""no subsequencet document found in accounting"".

1. Contact BPTM HRPAY for further review on IDOC at ECP (TCODE WE05).
2. BPTM HRPAY will take action if the bus.Area is still 64 (yellow) - Push the IDOC Number manually through the TCODE BD87.
3. BPTM HRPAY will review the TCODE We05 to ensure that the IDOC NUMBER has changed to status 53 (green) and informs users.
4. AO Restore the ZRPY121 Program."
400000142,Spick Code does not exist,CM,Spick code,Application,SAPGUI - Cash Management,Bank,The receipt cannot be generated because the spick code does not exist in the IGFMAS system.,"To create a spick code on IGFMAS, the user can contact the Panjar unit, bpopa by emailing the unitpanjar@anm.gov.my"
400000143,Certificate exceeds 7 days for the process of transferring funds from Headquarters (HO),CM,Fund,Application,SAPGUI - Cash Management,Bank,Abap dump during the certificate process for more than 7 days.,Users need to gain access to the SM51 transaction code to enable user switch to the AAS4 server.Then the user can continue to approve the documents involved as the timeout of the AAS4 server is now between 10 minutes and 1.5 hours.
400000144,Business Area & Functional Area Blank at User Profile SU3,CM,Panjar,Application,Panjar,Retail Money Panjar,Blank document log in the KEW.50E document.,It needs to update the user profile by filling out the Bussiness Area and Functional Area information.The workflow also needs to update the ZWFT001 table.
400000145,Online Claims Application Not Found On The Claim Application Screen or Payment Instructions Preparation Screen from AP,GUMIS,A claim of GUMIS,Application,SAPGUI - GUMIS,Demand,The user does not find an online claim application on the Claim Application Screen or Payment Instructions/Kiri Preparation Screen from the AP.,Review the status of the online claim application can be made in advance on the quiri search screen (ZYGU304) and claim information information information (ZYGU308).
400000146,The owner's information was not found when searching on the Claim Application Verification screen,GUMIS,A claim of GUMIS,Application,SAPGUI - GUMIS,Demand,The user does not find the owner's information when searching on the Claim Application Verification screen.,Review the status of the owner's information can be made first on the screen of the owner's information (ZYGU309).
400000147,Error on the process of uploading files on the screen exists uma4 and uma3,GUMIS,GUMIS submission,Application,SAPGUI - GUMIS,Delivery,"The ""Invalid File Format"" Error exit when the user uploads the submission file from the entity on the screen exists UNTER4 and UNA3.",Users should advise the entity to confirm the upload confirmation using the WTD Submission Kit.
400000148,Kuiri's letter was not found in Egumis for a claimed claim application,GUMIS,The claim of the GUMIS,Application,SAPGUI - GUMIS,Demand,Kuiri's letter is not available for online claim in Egumis.,The user must reprint the quiri letter on the quiri search screen (ZYGU304).
400000160,Deposit Refund Instructions Error,AP,The work deposit,Application,Payment command management,Payment Instructions with Government Orders,Error during the Deposit Payment Payment Instructions Register,"Error display - '' Deposit refund is not allowed. Accounting Office is not the same '' at the List of Work Deposit Refund Instructions
SOLUTION: Users need to make sure the locked receipts are simply 19 characters"
400000161,WJP Payment Instruction Error,AP,WJP,Application,Payment command management,Payment Instructions with Government Orders,Chargeline Blank Error during WJP Payment Instructions Register,"Chargeline on the payment command is not withdrawn in case if no SST has no physical contract number
Solution: Users need to update SST parent information with no physical contract"
400000162,PKI Digital Signature,Authorization,PKI Digital Signature,Authorization,Authorization,Token/SSF ID/Digital Signature (GPKI),<Pki> CRL cannot be detected or invalid,"CRL Server needs to be updated as it has expired.
Reporters are only informed by emailing networksecurity@anm.gov.my and authorization@anm.gov.my"
400000163,PKI Digital Signature,Authorization,PKI Digital Signature,Authorization,Authorization,Token/SSF ID/Digital Signature (GPKI),<pki> Invalid digital signature.,"1. The digital certificate has expired and needs to be renewed at the GPKI Portal MAMPU.
Or if the digital certificate is still valid it may be caused by
2. Network signals (Network) Mega Disruption and users need to retry"
